day,whale_deepseek_stars,lobster_openclaw_stars
1,24150,22
2,85320,44
3,112450,66
4,130974,88
5,149689,358
6,160217,628
7,167061,898
8,172819,1168
9,,1438
10,,1708
11,,1978
12,,2248
13,,2518
14,,2788
15,,3058
16,,3328
17,,3598
18,,3868
19,,4138
20,,4408
21,,4678
22,,4948
23,,5218
24,,5488
25,,5758
26,,6028
27,,6298
28,,6568
29,,6838
30,,7108
31,,7378
32,,7648
33,,7918
34,,8188
35,,8458
36,,8728
37,,8998
38,,9268
39,,9538
40,,9808
41,,10078
42,,10348
43,,10618
44,,10888
45,,11158
46,,11428
47,,11698
48,,11968
49,,12238
50,,12508
51,,12778
52,,13048
53,,13318
54,,13588
55,,13858
56,,22200
57,,30200
58,,38200
59,,46200
60,,54200
61,,62200
62,,70200
63,,78200
64,,86200
65,,94200
66,,102200
67,,110200
68,,118200
69,,126200
70,,134200
71,,142200
72,,150200
73,,158200
74,,166200
75,,170000
76,,174000
77,,178000
78,,182000
79,,186000
80,,190000
81,,194000
82,,198000
83,,202000
84,,206000
85,,210000
86,,214000
87,,218000
88,,222000
89,,226000
90,,230000
91,,234000
92,,238000
93,,242000
94,,246000
95,,250000
96,,254000
97,,258000
98,,262000
99,,266000
100,,270000
101,,271695
102,,272391
103,,273086
104,,273781
105,,274476
106,,275172
107,,275867
108,,276562
109,,277258
110,,277953
111,,278648
112,,279344
113,,280039
114,,280734
115,,281430
116,,282125
117,,282820
118,,283515
119,,284211
120,,284906
121,,285601
122,,286297
123,,286992
124,,287687
125,,288382
126,,289078
127,,289773
128,,290468
129,,291164
130,,291859
131,,292554
132,,293250
133,,293945
134,,294640
135,,295336
136,,296031
137,,296726
138,,297421
139,,298117
140,,298812
141,,299507
142,,300203
143,,300898
144,,301593
145,,302288
146,,302984
147,,303679
148,,304374
149,,305070
150,,305765
151,,306460
152,,307156
153,,307851
154,,308546
155,,309242
156,,309937
157,,310632
158,,311327
159,,312023
160,,312718
161,,313413
162,,314109
163,,314804
164,,315499
165,,316194
166,,316890
167,,317585
168,,318280
169,,318976
170,,319671
171,,320366
172,,321062
173,,321757
174,,322452
175,,323148
176,,323843
177,,324538
178,,325233
179,,325929
180,,326624
181,,327319
182,,328015
183,,328710
184,,329405
185,,330100
186,,330796
187,,331491
188,,332186
189,,332882
190,,333577
191,,334272
192,,334968
193,,335663
194,,336358
195,,337054
196,,337749
197,,338444
198,,339139
199,,339835
200,,340530
201,,341225
202,,341921
203,,342616
204,,343311
205,,344006
206,,344702
207,,345397
208,,346092
209,,346788
210,,347483
211,,348178
212,,348874
213,,349569
214,,350264
215,,350960
216,,351655
217,,352350
218,,353045
219,,353741
220,,354436
221,,355131
222,,355827
223,,356522
224,,357217
225,,357912
226,,358608
227,,359303
228,,359998
229,,360694
230,,361389
231,,362084
232,,362780
233,,363475
234,,364170
235,,364866
236,,365561
237,,366256
238,,366951
239,,367647
240,,368342
241,,369037
242,,369733
243,,370428
244,,371123
245,,371818
246,,372514
247,,373209
248,,373904
249,,374600
250,,375295
251,,375990
252,,376686
253,,377381
254,,378076
255,,378772
256,,379467
257,,380162
258,,380857
259,,381553
260,,382248
261,,382943
262,,383639
263,,384334
264,,385029
265,,385724
266,,386466
267,,386561
268,,386672
269,,386806
270,,386900
